Advertiser,Date,Device,Type,First Seen,Last Seen,Link to Creative,Spend,Impressions
Andersen Corporation,5/1/2025,OTT,Video,4/7/2025,5/31/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/252e2535909e9510/media,37991.2817,1648561
Andersen Corporation,5/1/2025,YouTube,Video,4/3/2025,5/1/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/ff0d0403acefcca9/media,50.7945,32862
Andersen Corporation,5/1/2025,Facebook,Photo Post,4/27/2025,6/1/2025,https://s3.amazonaws.com/YM_Ads/-7172226440413423047.png,78657.9786,11805040
Andersen Corporation,5/1/2025,YouTube,Video,7/5/2023,5/9/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/149ad47dcee0122b/media,25.6985,16626
Andersen Corporation,5/1/2025,Desktop Display,HTML5,5/5/2025,5/26/2025,https://s3.amazonaws.com/YM_Ads/3wtjwgEg3ouUfhcJSjt5Vg.png,77.7734,8226
Andersen Corporation,5/1/2025,Instagram,Reel Post,12/24/2024,5/30/2025,https://s3.amazonaws.com/YM_Ads/2162815555848018005.png,2612.4367,344073
Andersen Corporation,5/1/2025,YouTube,Video,4/4/2025,5/1/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/da904f832f44bc1d/media,25.3972,16431
Andersen Corporation,5/1/2025,Instagram,Reel Post,2/9/2025,5/1/2025,,268.0845,35308
Andersen Corporation,5/1/2025,Facebook,Video Post,5/7/2025,5/14/2025,https://s3.amazonaws.com/YM_Ads/-9123686923295141373.png,17418.528,2614183
Andersen Corporation,5/1/2025,YouTube,Video,4/4/2025,5/1/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/c8a807b90827dfb8/media,25.3972,16431
Andersen Corporation,5/1/2025,Instagram,Unknown Post Type,5/1/2025,5/31/2025,,1776.0469,233914
Andersen Corporation,5/1/2025,OTT,Video,6/18/2023,5/15/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/0d885d85cc444390/media,4815.9091,181166
Andersen Corporation,5/1/2025,OTT,Video,3/4/2025,5/6/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/eed378935525ea4e/media,4827.1958,202356
Andersen Corporation,5/1/2025,Facebook,Photo Post,11/2/2024,5/14/2025,https://s3.amazonaws.com/YM_Ads/-1637855032960010113.png,15406.504,2312212
Andersen Corporation,5/1/2025,YouTube,Video,5/7/2025,5/15/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/24dfd08b2df68193/media,332.4288,215069
Andersen Corporation,5/1/2025,YouTube,Video,5/6/2025,5/28/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/97de66e32b1afdff/media,906.9882,586785
Andersen Corporation,5/1/2025,Desktop Display,HTML5,6/19/2024,5/16/2025,https://s3.amazonaws.com/YM_Ads/DHjk4NYLSES1j1vggtcNsA.png,675.803,262200
Andersen Corporation,5/1/2025,OTT,Video,5/13/2025,5/25/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/4fc5b87002a394f7/media,3605.5084,76367
Andersen Corporation,5/1/2025,Desktop Video,Video,5/12/2025,5/12/2025,https://s3.amazonaws.com/YM_Ads/jDqKJL-JuNSS3LeF_WtBjA.mp4,1681.1526,62264
Andersen Corporation,5/1/2025,OTT,Video,4/15/2025,5/29/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/2efd15b089bf5fc7/media,3652.3499,153107
Andersen Corporation,5/1/2025,OTT,Video,5/14/2025,5/27/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/cd3bdb5579ce9de8/media,92971.3037,3177852
Andersen Corporation,5/1/2025,Instagram,Reel Post,5/1/2025,5/31/2025,,4763.1365,627330
Andersen Corporation,5/1/2025,OTT,Video,4/18/2025,5/28/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/db59b07b6a40f49a/media,70663.1367,2535748
Andersen Corporation,5/1/2025,OTT,Video,5/12/2025,5/28/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/dc7978fbdf0f0b86/media,82717.9853,2802076
Andersen Corporation,5/1/2025,YouTube,Video,5/23/2025,5/23/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/39206715c53ded80/media,49.5314,32044
Andersen Corporation,5/1/2025,YouTube,Video,4/5/2025,5/1/2025,https://x-ad-assets.s3.amazonaws.com/media_asset/957607e6dd21c02c/media,25.3972,16431
